user_id,lightfm_id
165,0
171,1
180,2
185,3
187,4
188,5
199,6
207,7
226,8
228,9
232,10
233,11
234,12
235,13
236,14
238,15
241,16
242,17
243,18
244,19
245,20
247,21
248,22
249,23
251,24
255,25
258,26
260,27
263,28
265,29
267,30
268,31
269,32
272,33
273,34
275,35
276,36
278,37
279,38
280,39
283,40
284,41
286,42
288,43
290,44
291,45
293,46
294,47
298,48
299,49
300,50
301,51
302,52
304,53
306,54
309,55
310,56
311,57
313,58
315,59
316,60
318,61
321,62
324,63
326,64
327,65
328,66
330,67
331,68
336,69
337,70
340,71
341,72
342,73
344,74
345,75
346,76
347,77
348,78
349,79
353,80
360,81
368,82
369,83
372,84
373,85
374,86
375,87
378,88
379,89
380,90
382,91
383,92
384,93
388,94
392,95
395,96
396,97
397,98
400,99
401,100
402,101
403,102
405,103
407,104
408,105
410,106
411,107
412,108
413,109
415,110
416,111
417,112
419,113
420,114
422,115
423,116
427,117
428,118
429,119
431,120
432,121
437,122
440,123
441,124
442,125
443,126
444,127
445,128
446,129
449,130
452,131
453,132
456,133
457,134
458,135
460,136
461,137
462,138
464,139
466,140
469,141
471,142
472,143
473,144
475,145
476,146
478,147
479,148
480,149
481,150
483,151
484,152
487,153
488,154
492,155
494,156
495,157
497,158
498,159
500,160
501,161
503,162
504,163
505,164
506,165
507,166
508,167
509,168
510,169
511,170
512,171
519,172
521,173
523,174
524,175
525,176
528,177
529,178
532,179
533,180
536,181
537,182
538,183
542,184
544,185
548,186
550,187
558,188
560,189
566,190
569,191
570,192
572,193
573,194
574,195
576,196
578,197
579,198
580,199
582,200
583,201
586,202
589,203
590,204
591,205
592,206
593,207
594,208
596,209
599,210
600,211
603,212
604,213
605,214
609,215
611,216
612,217
613,218
622,219
624,220
626,221
630,222
631,223
633,224
638,225
639,226
640,227
641,228
642,229
643,230
644,231
646,232
649,233
651,234
654,235
658,236
659,237
661,238
668,239
669,240
673,241
678,242
682,243
685,244
686,245
689,246
691,247
692,248
693,249
697,250
698,251
700,252
703,253
709,254
711,255
713,256
714,257
715,258
716,259
722,260
726,261
728,262
730,263
734,264
736,265
738,266
742,267
743,268
744,269
748,270
749,271
754,272
755,273
756,274
759,275
764,276
768,277
770,278
771,279
781,280
793,281
798,282
799,283
800,284
801,285
802,286
803,287
804,288
806,289
807,290
809,291
810,292
811,293
812,294
813,295
815,296
818,297
823,298
825,299
827,300
828,301
830,302
833,303
834,304
837,305
841,306
842,307
844,308
845,309
848,310
850,311
855,312
857,313
860,314
865,315
866,316
871,317
875,318
876,319
877,320
879,321
880,322
883,323
885,324
886,325
887,326
888,327
889,328
892,329
893,330
894,331
895,332
896,333
897,334
902,335
903,336
904,337
905,338
906,339
909,340
910,341
911,342
913,343
918,344
920,345
922,346
923,347
932,348
934,349
935,350
936,351
939,352
942,353
945,354
947,355
949,356
950,357
951,358
952,359
953,360
954,361
955,362
956,363
958,364
959,365
960,366
961,367
962,368
966,369
967,370
969,371
970,372
971,373
974,374
976,375
981,376
984,377
986,378
987,379
988,380
991,381
992,382
995,383
996,384
997,385
998,386
1001,387
1002,388
1004,389
1005,390
1006,391
1008,392
1010,393
1011,394
1012,395
1013,396
1014,397
1016,398
1017,399
1018,400
1019,401
1021,402
1022,403
1024,404
1025,405
1026,406
1028,407
1029,408
1030,409
1032,410
1034,411
1036,412
1040,413
1041,414
1042,415
1043,416
